"tqpkiprofara01","tqpkiprofara02","tqpkiprofara03","tqpkiprofara04","srv_ac","aras_cpn","ar_mediador","cpcewprojbos01","cpcewprojbos02","srv_ar","tqbznprowebc02","tqbznprowebc03","tqbznprowebc04","tqbznprowebc05","tqbznprowebc06","tqbznprowebc07","tqbznprowebc08","tqbznprowebc09","tqbznprowebc10","tqbznprowebc11","tqbznprowebc12","tqbznprowebc13","tqbznprowebc14","tqbznprowebc15","tqrfcprowebl21","tqrfcprowebl22","tqrfcprowebl23","tqrfcprowebl24","tqrfcprowebl26","tqrfcprowebl27","tqrfcprowebl28","tqrfcprowebl29","tqrfcprowebl30","tqrfcprowebl31","tqrfcprowebl32","tqrfcprowebl34","tqrfcprowebl35","tqrfcprowebl36","tqrfcprowebl37","tqrfcprowebl38","tqrfcprowebl39","tqrfcprowebl40","tqrfcprowebl42","tqrfcprowebl43","tqrfcprowebl44","tqrfcprowebl45","tqrfcprowebl46","tqrfcprowebl47","tqrfcprowebl48","tqrfcprowebl49","tqrfcprowebl50","tqrfcprowebl51","tqrfcprowebl52","tqrfcprowebl53","tqrfcprowebl54","tqrfcprowebl55","tqrfcprowebl56","tqrfcprowebl57","tqrfcprowebl58","tqrfcprowebl65","tqrfcprowebl82","tqrfcprowebl83","tqrfcprowebl84"
"2017-05-07 00:54:00",66,0,82,75,0,72,0,0,83,0,0,16,8,0,0,16,8,8,0,16,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,16,7,12,1,6,0,3,0,0,0,0,1,0,0,7,3,0,1,0,0,0,3,0,1,3,1,0,11
"2017-05-07 00:57:00",68,0,91,56,0,72,0,0,83,0,0,8,8,0,8,24,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,2,1,2,2,9,7,3,14,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,12,27,0,21
"2017-05-07 01:00:00",53,0,70,78,0,72,0,0,83,0,0,8,0,0,16,8,8,8,8,0,0,8,24,0,0,0,0,0,0,4,0,0,0,0,3,9,15,1,8,1,4,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,5,0,6
"2017-05-07 01:03:00",61,0,85,72,0,72,0,0,85,2,0,8,8,0,32,0,0,48,0,24,0,8,8,0,0,0,0,0,3,2,1,0,0,0,0,8,4,11,3,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,7,3,11
"2017-05-07 01:06:00",55,0,58,64,0,72,0,0,82,0,0,24,8,0,8,16,8,8,0,0,0,8,8,0,0,0,0,0,0,2,0,0,0,0,0,10,0,17,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7,2,15,11
"2017-05-07 01:09:00",47,0,52,59,0,72,0,0,83,0,0,16,8,0,8,8,8,8,8,0,0,24,8,0,0,0,0,0,0,3,0,0,0,0,0,0,5,7,3,3,10,5,0,0,0,0,0,1,0,0,4,0,2,0,0,1,0,2,1,0,10,5,0
"2017-05-07 01:12:00",45,44,41,59,0,72,0,5,84,0,0,8,16,0,0,24,0,16,24,24,0,8,32,0,0,0,0,0,0,0,0,0,0,2,2,2,7,0,16,1,12,0,0,0,0,0,0,0,1,1,3,1,0,0,2,0,0,0,0,8,0,0,0
"2017-05-07 01:15:00",43,81,69,49,2,72,0,84,83,0,0,0,40,0,0,16,24,24,0,32,0,8,32,0,0,0,0,0,2,0,0,0,0,0,0,6,6,6,0,15,6,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,1,0
"2017-05-07 01:18:00",49,65,82,70,0,72,0,83,83,0,0,0,8,0,8,16,0,8,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,9,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,14,6,0
"2017-05-07 01:21:00",52,70,51,22,0,72,0,82,83,0,0,8,8,0,0,8,0,8,0,16,0,16,16,0,0,0,0,0,0,3,0,0,0,1,0,9,2,10,0,9,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,5,0
"2017-05-07 01:24:00",39,49,55,0,0,72,0,84,84,0,0,16,8,0,0,8,32,8,0,16,0,8,8,0,0,0,0,0,4,1,0,0,0,1,0,0,8,0,7,0,6,9,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,6,7,0,9
"2017-05-07 01:27:00",67,95,86,0,0,72,0,84,82,0,0,16,16,0,8,24,8,0,8,32,0,8,16,0,0,0,0,0,0,0,0,0,3,1,3,2,0,2,0,12,16,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,4,0
"2017-05-07 01:30:00",45,72,76,0,0,72,0,83,83,0,0,24,0,0,0,8,8,0,16,0,0,8,24,0,0,0,0,0,1,0,0,0,2,0,0,0,18,3,7,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,7,0,16,1
"2017-05-07 01:33:00",49,60,62,0,0,72,0,83,84,0,0,0,32,0,0,8,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,2,3,0,0,0,19,14,1,1,11,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,1,0,2,0,0,2
"2017-05-07 01:36:00",41,45,43,0,0,72,0,83,82,0,0,16,0,0,8,24,24,0,8,0,0,24,8,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,8,13,17,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,1,1,6
"2017-05-07 01:39:00",46,79,65,0,0,72,0,84,83,0,0,0,0,0,16,16,16,8,16,8,0,24,0,0,0,0,0,0,0,0,0,3,2,2,0,11,0,1,1,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,11,4,3,9
"2017-05-07 01:42:00",43,51,46,0,0,72,0,84,84,0,0,16,8,0,0,8,0,0,16,8,0,0,8,0,0,0,0,0,0,1,2,1,0,1,0,2,12,6,10,8,6,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,10,1,0
"2017-05-07 01:45:00",50,67,24,0,0,72,0,84,82,6,0,8,8,0,0,32,0,8,8,8,0,32,16,0,0,0,0,0,3,4,1,0,1,0,2,9,2,0,5,3,2,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,5,1,5
"2017-05-07 01:48:00",70,50,0,0,0,72,0,83,83,8,0,8,8,0,8,16,16,8,8,24,0,8,24,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1,0,4,1,0,9,11,8,8
"2017-05-07 01:51:00",66,75,0,0,0,44,0,83,84,4,0,16,16,0,8,32,0,32,8,16,0,16,16,0,0,0,0,0,0,0,0,1,0,0,0,6,15,9,10,2,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,4,7
"2017-05-07 01:54:00",38,42,0,26,0,0,0,84,82,2,0,0,16,0,8,16,8,0,0,8,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,5,11,4,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,5
"2017-05-07 01:57:00",12,47,0,80,0,0,0,83,85,0,0,8,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,2,2,1,1,0,1,1,5,4,8,9,1,6,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,11,0,4,6
"2017-05-07 02:00:00",0,59,0,81,2,0,0,82,82,0,0,16,8,0,0,24,16,16,24,40,0,16,8,0,0,0,0,0,1,2,0,0,1,0,0,0,5,0,4,7,0,2,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,6,5
"2017-05-07 02:03:00",0,53,0,40,0,0,0,84,83,6,0,0,24,0,24,24,24,24,16,8,0,24,16,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,2,5,7,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,8,0,7,8
"2017-05-07 02:06:00",0,46,0,60,0,0,0,83,84,0,0,0,0,0,8,24,8,8,0,0,0,8,8,0,0,0,0,0,0,2,1,0,0,0,4,7,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,7,3
"2017-05-07 02:09:00",0,52,0,63,0,0,0,83,83,0,0,8,8,0,8,8,0,8,16,0,0,8,0,0,0,0,0,0,1,1,0,0,0,2,0,3,0,1,6,8,10,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6,18,8,0
"2017-05-07 02:12:00",0,66,0,70,0,0,0,83,84,0,0,8,16,0,8,16,16,16,16,24,0,24,24,0,0,0,0,0,0,1,1,0,0,9,0,16,6,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2
"2017-05-07 02:15:00",0,49,27,39,0,0,0,83,82,0,0,8,8,0,24,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,3
"2017-05-07 02:18:00",0,59,70,67,0,0,0,84,84,4,0,0,0,0,0,0,16,0,8,8,0,16,0,0,0,0,0,0,1,1,4,0,0,0,3,1,4,4,4,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,5,0,14
"2017-05-07 02:21:00",0,55,57,48,0,0,0,83,84,4,0,0,24,0,0,16,16,0,0,8,0,0,24,0,0,0,0,0,0,0,1,0,0,1,1,17,0,10,2,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,4,5,1,0
"2017-05-07 02:24:00",0,44,44,57,0,0,0,83,82,4,0,16,9,0,16,8,8,8,16,0,0,16,1,0,0,0,0,0,2,0,0,1,0,8,0,0,0,15,5,0,0,3,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,5
"2017-05-07 02:27:00",4,16,48,51,0,0,0,83,84,0,0,13,6,0,16,22,8,5,8,27,0,10,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,15,13,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,3,1,2,6,1,1
"2017-05-07 02:30:00",49,0,55,52,0,0,0,84,83,0,0,31,10,0,16,5,2,9,2,13,0,0,8,0,0,0,0,0,0,0,0,1,0,2,0,17,0,7,0,0,0,5,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,7,4,7,0
"2017-05-07 02:33:00",59,0,54,66,0,0,0,83,83,4,0,10,15,0,9,13,4,15,4,5,0,6,11,0,0,0,0,0,0,2,0,0,0,1,1,0,5,6,3,0,0,4,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,9,8,8,0
"2017-05-07 02:36:00",69,0,57,61,0,0,0,84,83,0,0,18,11,0,13,16,64,11,43,23,0,46,23,1,0,0,0,0,0,0,0,0,0,0,0,6,10,4,5,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"2017-05-07 02:39:00",60,0,73,52,0,0,0,82,83,10,0,13,2,0,7,5,5,3,1,6,0,5,2,1,0,0,0,0,5,0,2,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0
"2017-05-07 02:42:00",75,0,74,68,0,0,0,83,84,0,0,5,12,0,12,8,7,6,6,8,0,8,6,0,0,0,0,0,4,1,0,0,3,0,2,0,9,8,0,8,8,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,10
"2017-05-07 02:45:00",43,0,48,57,0,0,0,84,83,0,0,8,13,0,13,12,11,11,12,10,0,13,9,0,0,0,0,0,0,3,0,0,0,0,1,10,5,0,0,0,7,8,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,16,5,9,0
"2017-05-07 02:48:00",52,0,71,54,0,0,0,83,83,0,0,13,27,0,17,16,19,15,17,11,0,7,18,0,0,0,0,0,3,5,0,0,0,0,0,9,0,0,0,4,8,0,0,0,0,0,1,0,1,0,2,2,0,1,0,0,1,0,0,6,0,6,4
"2017-05-07 02:51:00",70,0,51,73,0,0,0,84,84,0,0,17,16,0,19,21,25,14,27,20,0,25,18,2,0,0,0,0,0,0,0,0,1,0,0,3,9,0,0,6,11,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,4,11
"2017-05-07 02:54:00",48,0,53,52,0,0,0,82,82,0,0,16,15,0,14,12,15,18,17,17,0,22,15,2,0,0,0,0,0,0,1,0,0,2,1,17,2,12,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
"2017-05-07 02:57:00",68,0,84,68,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,5,1,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1
"2017-05-07 03:00:00",59,34,64,50,0,0,0,83,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,10,1,12,0,9,8,2,0,0,0,0,0,1,4,0,1,0,0,2,0,1,0,3,0,0,0,3,2
"2017-05-07 03:03:00",50,56,54,53,0,0,0,83,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0
"2017-05-07 03:06:00",38,42,55,50,0,0,0,83,84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,4,10,3,5,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,5,1
"2017-05-07 03:09:00",55,48,70,69,0,0,0,84,83,4,0,2,2,0,2,2,2,2,2,2,0,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,2
"2017-05-07 03:12:00",67,76,76,9,0,60,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,2,0,0,7,6,0,0,0,5,6,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"2017-05-07 03:15:00",86,88,84,0,0,72,0,84,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,12,2,11,0,4,13,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,1
"2017-05-07 03:18:00",68,65,62,0,0,72,0,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,8,0,1,10,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,4,9
